well,cell_count,cytokine,freq,gate_clean,sample,donor,car_name,expt,CAR,subset
A1,3685,IL2,6.06,IL2_pos,1,D1,CD28,TCSL247_D1,TRUE,CD3
A1,3685,IFNg,32.05,IFNg_pos,1,D1,CD28,TCSL247_D1,TRUE,CD3
A1,3685,TNFa,55.31,TNFa_pos,1,D1,CD28,TCSL247_D1,TRUE,CD3
A10,2049,IL2,23.68,IL2_pos,10,D1V,41BB,TCSL247_D1V,TRUE,CD3
A10,2049,IFNg,41.54,IFNg_pos,10,D1V,41BB,TCSL247_D1V,TRUE,CD3
A10,2049,TNFa,68.25,TNFa_pos,10,D1V,41BB,TCSL247_D1V,TRUE,CD3
A11,11822,IL2,19.35,IL2_pos,11,D1V,DRB528C,TCSL247_D1V,TRUE,CD3
A11,11822,IFNg,35.87,IFNg_pos,11,D1V,DRB528C,TCSL247_D1V,TRUE,CD3
A11,11822,TNFa,61.88,TNFa_pos,11,D1V,DRB528C,TCSL247_D1V,TRUE,CD3
A12,5860,IL2,21.63,IL2_pos,12,D1V,zeta,TCSL247_D1V,TRUE,CD3
A12,5860,IFNg,36.75,IFNg_pos,12,D1V,zeta,TCSL247_D1V,TRUE,CD3
A12,5860,TNFa,71.52,TNFa_pos,12,D1V,zeta,TCSL247_D1V,TRUE,CD3
A2,5008,IL2,5.36,IL2_pos,2,D1,41BB,TCSL247_D1,TRUE,CD3
A2,5008,IFNg,23.84,IFNg_pos,2,D1,41BB,TCSL247_D1,TRUE,CD3
A2,5008,TNFa,44.39,TNFa_pos,2,D1,41BB,TCSL247_D1,TRUE,CD3
A3,4163,IL2,14.43,IL2_pos,3,D1,DRB5,TCSL247_D1,TRUE,CD3
A3,4163,IFNg,39.8,IFNg_pos,3,D1,DRB5,TCSL247_D1,TRUE,CD3
A3,4163,TNFa,69.49,TNFa_pos,3,D1,DRB5,TCSL247_D1,TRUE,CD3
A4,11885,IL2,8.63,IL2_pos,4,D1,DRB528C,TCSL247_D1,TRUE,CD3
A4,11885,IFNg,29.72,IFNg_pos,4,D1,DRB528C,TCSL247_D1,TRUE,CD3
A4,11885,TNFa,58.63,TNFa_pos,4,D1,DRB528C,TCSL247_D1,TRUE,CD3
A5,9149,IL2,11.04,IL2_pos,5,D2,CD28,TCSL247_D2,TRUE,CD3
A5,9149,IFNg,22.02,IFNg_pos,5,D2,CD28,TCSL247_D2,TRUE,CD3
A5,9149,TNFa,54.71,TNFa_pos,5,D2,CD28,TCSL247_D2,TRUE,CD3
A6,12155,IL2,12.48,IL2_pos,6,D2,41BB,TCSL247_D2,TRUE,CD3
A6,12155,IFNg,16.97,IFNg_pos,6,D2,41BB,TCSL247_D2,TRUE,CD3
A6,12155,TNFa,56.29,TNFa_pos,6,D2,41BB,TCSL247_D2,TRUE,CD3
A7,9959,IL2,21.44,IL2_pos,7,D2,DRB5,TCSL247_D2,TRUE,CD3
A7,9959,IFNg,18,IFNg_pos,7,D2,DRB5,TCSL247_D2,TRUE,CD3
A7,9959,TNFa,61.89,TNFa_pos,7,D2,DRB5,TCSL247_D2,TRUE,CD3
A8,8549,IL2,16.13,IL2_pos,8,D2,DRB528C,TCSL247_D2,TRUE,CD3
A8,8549,IFNg,18.52,IFNg_pos,8,D2,DRB528C,TCSL247_D2,TRUE,CD3
A8,8549,TNFa,58.81,TNFa_pos,8,D2,DRB528C,TCSL247_D2,TRUE,CD3
A9,3065,IL2,24.3,IL2_pos,9,D1V,CD28,TCSL247_D1V,TRUE,CD3
A9,3065,IFNg,40.56,IFNg_pos,9,D1V,CD28,TCSL247_D1V,TRUE,CD3
A9,3065,TNFa,72.16,TNFa_pos,9,D1V,CD28,TCSL247_D1V,TRUE,CD3
B1,5465,IL2,5.95,IL2_pos,1,D1,CD28,TCSL247_D1,TRUE,CD3
B1,5465,IFNg,30.59,IFNg_pos,1,D1,CD28,TCSL247_D1,TRUE,CD3
B1,5465,TNFa,55.25,TNFa_pos,1,D1,CD28,TCSL247_D1,TRUE,CD3
B10,1335,IL2,21.12,IL2_pos,10,D1V,41BB,TCSL247_D1V,TRUE,CD3
B10,1335,IFNg,35.9,IFNg_pos,10,D1V,41BB,TCSL247_D1V,TRUE,CD3
B10,1335,TNFa,61.98,TNFa_pos,10,D1V,41BB,TCSL247_D1V,TRUE,CD3
B11,505,IL2,4.96,IL2_pos,,,,TCSL247_NA,,CD3
B11,505,IFNg,12.4,IFNg_pos,,,,TCSL247_NA,,CD3
B11,505,TNFa,14.88,TNFa_pos,,,,TCSL247_NA,,CD3
B12,1386,IL2,12.07,IL2_pos,12,D1V,zeta,TCSL247_D1V,TRUE,CD3
B12,1386,IFNg,27.65,IFNg_pos,12,D1V,zeta,TCSL247_D1V,TRUE,CD3
B12,1386,TNFa,53.73,TNFa_pos,12,D1V,zeta,TCSL247_D1V,TRUE,CD3
B2,4963,IL2,5.39,IL2_pos,2,D1,41BB,TCSL247_D1,TRUE,CD3
B2,4963,IFNg,21.94,IFNg_pos,2,D1,41BB,TCSL247_D1,TRUE,CD3
B2,4963,TNFa,40.62,TNFa_pos,2,D1,41BB,TCSL247_D1,TRUE,CD3
B3,1045,IL2,14.19,IL2_pos,3,D1,DRB5,TCSL247_D1,TRUE,CD3
B3,1045,IFNg,38.65,IFNg_pos,3,D1,DRB5,TCSL247_D1,TRUE,CD3
B3,1045,TNFa,67.25,TNFa_pos,3,D1,DRB5,TCSL247_D1,TRUE,CD3
B4,6835,IL2,7.6,IL2_pos,4,D1,DRB528C,TCSL247_D1,TRUE,CD3
B4,6835,IFNg,28.38,IFNg_pos,4,D1,DRB528C,TCSL247_D1,TRUE,CD3
B4,6835,TNFa,56.93,TNFa_pos,4,D1,DRB528C,TCSL247_D1,TRUE,CD3
B5,6613,IL2,11.19,IL2_pos,5,D2,CD28,TCSL247_D2,TRUE,CD3
B5,6613,IFNg,22.39,IFNg_pos,5,D2,CD28,TCSL247_D2,TRUE,CD3
B5,6613,TNFa,54.54,TNFa_pos,5,D2,CD28,TCSL247_D2,TRUE,CD3
B6,4055,IL2,9.25,IL2_pos,6,D2,41BB,TCSL247_D2,TRUE,CD3
B6,4055,IFNg,17.39,IFNg_pos,6,D2,41BB,TCSL247_D2,TRUE,CD3
B6,4055,TNFa,52.55,TNFa_pos,6,D2,41BB,TCSL247_D2,TRUE,CD3
B7,4767,IL2,18.98,IL2_pos,7,D2,DRB5,TCSL247_D2,TRUE,CD3
B7,4767,IFNg,18.2,IFNg_pos,7,D2,DRB5,TCSL247_D2,TRUE,CD3
B7,4767,TNFa,57.16,TNFa_pos,7,D2,DRB5,TCSL247_D2,TRUE,CD3
B8,4317,IL2,13.1,IL2_pos,8,D2,DRB528C,TCSL247_D2,TRUE,CD3
B8,4317,IFNg,16.27,IFNg_pos,8,D2,DRB528C,TCSL247_D2,TRUE,CD3
B8,4317,TNFa,51.23,TNFa_pos,8,D2,DRB528C,TCSL247_D2,TRUE,CD3
B9,1736,IL2,18.95,IL2_pos,9,D1V,CD28,TCSL247_D1V,TRUE,CD3
B9,1736,IFNg,37.76,IFNg_pos,9,D1V,CD28,TCSL247_D1V,TRUE,CD3
B9,1736,TNFa,68.03,TNFa_pos,9,D1V,CD28,TCSL247_D1V,TRUE,CD3
C1,2072,IL2,1.67,IL2_pos,13,D1,KO,TCSL247_D1,FALSE,CD3
C1,2072,IFNg,7.62,IFNg_pos,13,D1,KO,TCSL247_D1,FALSE,CD3
C1,2072,TNFa,7.49,TNFa_pos,13,D1,KO,TCSL247_D1,FALSE,CD3
C10,3514,IL2,1.5,IL2_pos,,,,TCSL247_NA,,CD3
C10,3514,IFNg,0.95,IFNg_pos,,,,TCSL247_NA,,CD3
C10,3514,TNFa,1.14,TNFa_pos,,,,TCSL247_NA,,CD3
C11,1635,IL2,29.89,IL2_pos,,,,TCSL247_NA,,CD3
C11,1635,IFNg,39.74,IFNg_pos,,,,TCSL247_NA,,CD3
C11,1635,TNFa,6.57,TNFa_pos,,,,TCSL247_NA,,CD3
C12,1802,IL2,4.36,IL2_pos,,,,TCSL247_NA,,CD3
C12,1802,IFNg,30.19,IFNg_pos,,,,TCSL247_NA,,CD3
C12,1802,TNFa,8.1,TNFa_pos,,,,TCSL247_NA,,CD3
C2,2793,IL2,1.34,IL2_pos,13,D1,KO,TCSL247_D1,FALSE,CD3
C2,2793,IFNg,9.18,IFNg_pos,13,D1,KO,TCSL247_D1,FALSE,CD3
C2,2793,TNFa,8.9,TNFa_pos,13,D1,KO,TCSL247_D1,FALSE,CD3
C3,3566,IL2,1.26,IL2_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C3,3566,IFNg,2.25,IFNg_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C3,3566,TNFa,1.49,TNFa_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C4,3129,IL2,1.11,IL2_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C4,3129,IFNg,1.57,IFNg_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C4,3129,TNFa,1.15,TNFa_pos,14,D2,KO,TCSL247_D2,FALSE,CD3
C5,6314,IL2,53.53,IL2_pos,,,,TCSL247_NA,,CD3
C5,6314,IFNg,67.76,IFNg_pos,,,,TCSL247_NA,,CD3
C5,6314,TNFa,92.91,TNFa_pos,,,,TCSL247_NA,,CD3
C6,6514,IL2,52.46,IL2_pos,,,,TCSL247_NA,,CD3
C6,6514,IFNg,67.6,IFNg_pos,,,,TCSL247_NA,,CD3
C6,6514,TNFa,92.7,TNFa_pos,,,,TCSL247_NA,,CD3
C7,5106,IL2,51.51,IL2_pos,,,,TCSL247_NA,,CD3
C7,5106,IFNg,44.69,IFNg_pos,,,,TCSL247_NA,,CD3
C7,5106,TNFa,78.16,TNFa_pos,,,,TCSL247_NA,,CD3
C8,2355,IL2,45.97,IL2_pos,,,,TCSL247_NA,,CD3
C8,2355,IFNg,41.71,IFNg_pos,,,,TCSL247_NA,,CD3
C8,2355,TNFa,69.06,TNFa_pos,,,,TCSL247_NA,,CD3
C9,3599,IL2,0.98,IL2_pos,,,,TCSL247_NA,,CD3
C9,3599,IFNg,1.3,IFNg_pos,,,,TCSL247_NA,,CD3
C9,3599,TNFa,5.29,TNFa_pos,,,,TCSL247_NA,,CD3
