,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,cells Count,cells % Parent,cells % Grand Parent,cells % Total,cells Count/uL,live Count,live % Parent,live % Grand Parent,live % Total,live Count/uL,Naive Count,Naive % Parent,Naive % Grand Parent,Naive % Total,Naive Count/uL,Mem Count,Mem % Parent,Mem % Grand Parent,Mem % Total,Mem Count/uL,Emra Count,Emra % Parent,Emra % Grand Parent,Emra % Total,Emra Count/uL,Eff Count,Eff % Parent,Eff % Grand Parent,Eff % Total,Eff Count/uL,CD4 Count,CD4 % Parent,CD4 % Grand Parent,CD4 % Total,CD4 Count/uL,CD8 Count,CD8 % Parent,CD8 % Grand Parent,CD8 % Total,CD8 Count/uL,EGFRt+ Count,EGFRt+ % Parent,EGFRt+ % Grand Parent,EGFRt+ % Total,EGFRt+ Count/uL,TNFa_EGFR Count,TNFa_EGFR % Parent,TNFa_EGFR % Grand Parent,TNFa_EGFR % Total,TNFa_EGFR Count/uL,IFNg_EGFR Count,IFNg_EGFR % Parent,IFNg_EGFR % Grand Parent,IFNg_EGFR % Total,IFNg_EGFR Count/uL,IL2_EGFR Count,IL2_EGFR % Parent,IL2_EGFR % Grand Parent,IL2_EGFR % Total,IL2_EGFR Count/uL,TNFa_1 Count,TNFa_1 % Parent,TNFa_1 % Grand Parent,TNFa_1 % Total,TNFa_1 Count/uL,IFNg_1 Count,IFNg_1 % Parent,IFNg_1 % Grand Parent,IFNg_1 % Total,IFNg_1 Count/uL,IL2_1 Count,IL2_1 % Parent,IL2_1 % Grand Parent,IL2_1 % Total,IL2_1 Count/uL,TNFa Count,TNFa % Parent,TNFa % Grand Parent,TNFa % Total,TNFa Count/uL,IFNg Count,IFNg % Parent,IFNg % Grand Parent,IFNg % Total,IFNg Count/uL,IL2 Count,IL2 % Parent,IL2 % Grand Parent,IL2 % Total,IL2 Count/uL
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-C12 Well_024,"21729","100.00","100.00","100.00","530.36","10000","46.02","46.02","46.02","244.08","8926","89.26","41.08","41.08","217.87","2935","34.20","32.88","13.51","71.64","1498","17.46","16.78","6.89","36.56","2891","33.69","32.39","13.30","70.56","1257","14.65","14.08","5.78","30.68","4306","48.24","43.06","19.82","105.10","4216","47.23","42.16","19.40","102.90","3362","37.67","33.62","15.47","82.06","1565","46.55","17.53","7.20","38.20","431","12.82","4.83","1.98","10.52","771","22.93","8.64","3.55","18.82","554","9.96","6.21","2.55","13.52","187","3.36","2.10","0.86","4.56","163","2.93","1.83","0.75","3.98","2119","23.74","21.19","9.75","51.72","683","7.65","6.83","3.14","16.67","883","9.89","8.83","4.06","21.55"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D1 Well_025,"19760","100.00","100.00","100.00","261.65","6837","34.60","34.60","34.60","90.53","6233","91.17","31.54","31.54","82.53","1922","31.86","30.84","9.73","25.45","1270","21.05","20.38","6.43","16.82","1896","31.43","30.42","9.60","25.11","944","15.65","15.15","4.78","12.50","2948","47.30","43.12","14.92","39.04","3003","48.18","43.92","15.20","39.76","2503","40.16","36.61","12.67","33.14","1010","40.35","16.20","5.11","13.37","235","9.39","3.77","1.19","3.11","359","14.34","5.76","1.82","4.75","257","6.89","4.12","1.30","3.40","84","2.25","1.35","0.43","1.11","110","2.95","1.76","0.56","1.46","1267","20.33","18.53","6.41","16.78","387","6.21","5.66","1.96","5.12","426","6.83","6.23","2.16","5.64"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D2 Well_026,"23273","100.00","100.00","100.00","336.70","10000","42.97","42.97","42.97","144.68","9192","91.92","39.50","39.50","132.99","2997","34.00","32.60","12.88","43.36","1847","20.96","20.09","7.94","26.72","2570","29.16","27.96","11.04","37.18","1400","15.88","15.23","6.02","20.25","4324","47.04","43.24","18.58","62.56","4427","48.16","44.27","19.02","64.05","3163","34.41","31.63","13.59","45.76","1242","39.27","13.51","5.34","17.97","301","9.52","3.27","1.29","4.35","490","15.49","5.33","2.11","7.09","425","7.05","4.62","1.83","6.15","132","2.19","1.44","0.57","1.91","124","2.06","1.35","0.53","1.79","1667","18.14","16.67","7.16","24.12","489","5.32","4.89","2.10","7.07","570","6.20","5.70","2.45","8.25"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D3 Well_027,"18760","100.00","100.00","100.00","249.34","7792","41.54","41.54","41.54","103.56","7288","93.53","38.85","38.85","96.86","2226","31.50","30.54","11.87","29.59","1586","22.44","21.76","8.45","21.08","1949","27.58","26.74","10.39","25.90","1306","18.48","17.92","6.96","17.36","3503","48.07","44.96","18.67","46.56","3463","47.52","44.44","18.46","46.03","3042","41.74","39.04","16.22","40.43","1562","51.35","21.43","8.33","20.76","404","13.28","5.54","2.15","5.37","862","28.34","11.83","4.59","11.46","447","10.53","6.13","2.38","5.94","157","3.70","2.15","0.84","2.09","146","3.44","2.00","0.78","1.94","2009","27.57","25.78","10.71","26.70","637","8.74","8.18","3.40","8.47","941","12.91","12.08","5.02","12.51"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D4 Well_028,"23235","100.00","100.00","100.00","356.69","10000","43.04","43.04","43.04","153.52","9214","92.14","39.66","39.66","141.45","2896","32.51","31.43","12.46","44.46","2059","23.11","22.35","8.86","31.61","2423","27.20","26.30","10.43","37.20","1531","17.18","16.62","6.59","23.50","4349","47.20","43.49","18.72","66.76","4447","48.26","44.47","19.14","68.27","2892","31.39","28.92","12.45","44.40","1619","55.98","17.57","6.97","24.85","445","15.39","4.83","1.92","6.83","828","28.63","8.99","3.56","12.71","491","7.77","5.33","2.11","7.54","192","3.04","2.08","0.83","2.95","159","2.52","1.73","0.68","2.44","2110","22.90","21.10","9.08","32.39","737","8.00","7.37","3.17","11.31","936","10.16","9.36","4.03","14.37"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D5 Well_029,"14496","100.00","100.00","100.00","191.70","4700","32.42","32.42","32.42","62.15","4343","92.40","29.96","29.96","57.43","1459","34.65","33.59","10.06","19.29","922","21.90","21.23","6.36","12.19","1187","28.19","27.33","8.19","15.70","643","15.27","14.81","4.44","8.50","2127","48.98","45.26","14.67","28.13","2031","46.76","43.21","14.01","26.86","1798","41.40","38.26","12.40","23.78","633","35.21","14.58","4.37","8.37","133","7.40","3.06","0.92","1.76","250","13.90","5.76","1.72","3.31","241","9.47","5.55","1.66","3.19","57","2.24","1.31","0.39","0.75","80","3.14","1.84","0.55","1.06","874","20.12","18.60","6.03","11.56","227","5.23","4.83","1.57","3.00","298","6.86","6.34","2.06","3.94"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D6 Well_030,"20224","100.00","100.00","100.00","269.26","8330","41.19","41.19","41.19","110.90","7758","93.13","38.36","38.36","103.29","2426","32.58","31.27","12.00","32.30","1449","19.46","18.68","7.16","19.29","2443","32.81","31.49","12.08","32.53","1128","15.15","14.54","5.58","15.02","3445","44.41","41.36","17.03","45.87","3948","50.89","47.39","19.52","52.56","3202","41.27","38.44","15.83","42.63","1212","37.85","15.62","5.99","16.14","257","8.03","3.31","1.27","3.42","447","13.96","5.76","2.21","5.95","371","8.14","4.78","1.83","4.94","80","1.76","1.03","0.40","1.07","112","2.46","1.44","0.55","1.49","1583","20.40","19.00","7.83","21.08","391","5.04","4.69","1.93","5.21","501","6.46","6.01","2.48","6.67"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D7 Well_031,"22202","100.00","100.00","100.00","304.81","10000","45.04","45.04","45.04","137.29","9460","94.60","42.61","42.61","129.87","3102","34.07","32.79","13.97","42.59","1643","18.04","17.37","7.40","22.56","2988","32.81","31.59","13.46","41.02","1373","15.08","14.51","6.18","18.85","4451","47.05","44.51","20.05","61.11","4572","48.33","45.72","20.59","62.77","3936","41.61","39.36","17.73","54.04","1609","40.88","17.01","7.25","22.09","332","8.43","3.51","1.50","4.56","773","19.64","8.17","3.48","10.61","576","10.43","6.09","2.59","7.91","128","2.32","1.35","0.58","1.76","141","2.55","1.49","0.64","1.94","2185","23.10","21.85","9.84","30.00","522","5.52","5.22","2.35","7.17","859","9.08","8.59","3.87","11.79"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D8 Well_032,"15224","100.00","100.00","100.00","202.55","5434","35.69","35.69","35.69","72.30","4949","91.07","32.51","32.51","65.85","1675","35.11","33.85","11.00","22.29","935","19.60","18.89","6.14","12.44","1521","31.88","30.73","9.99","20.24","640","13.41","12.93","4.20","8.52","2288","46.23","42.11","15.03","30.44","2412","48.74","44.39","15.84","32.09","1957","39.54","36.01","12.85","26.04","557","28.46","11.25","3.66","7.41","115","5.88","2.32","0.76","1.53","199","10.17","4.02","1.31","2.65","248","8.29","5.01","1.63","3.30","64","2.14","1.29","0.42","0.85","92","3.07","1.86","0.60","1.22","805","16.27","14.81","5.29","10.71","249","5.03","4.58","1.64","3.31","250","5.05","4.60","1.64","3.33"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D9 Well_033,"22186","100.00","100.00","100.00","358.01","10000","45.07","45.07","45.07","161.37","9215","92.15","41.54","41.54","148.70","3330","37.95","36.14","15.01","53.74","1745","19.89","18.94","7.87","28.16","2682","30.57","29.10","12.09","43.28","1017","11.59","11.04","4.58","16.41","4346","47.16","43.46","19.59","70.13","4341","47.11","43.41","19.57","70.05","2677","29.05","26.77","12.07","43.20","678","25.33","7.36","3.06","10.94","135","5.04","1.47","0.61","2.18","203","7.58","2.20","0.91","3.28","404","6.18","4.38","1.82","6.52","126","1.93","1.37","0.57","2.03","113","1.73","1.23","0.51","1.82","1082","11.74","10.82","4.88","17.46","336","3.65","3.36","1.51","5.42","287","3.11","2.87","1.29","4.63"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D10 Well_034,"20330","100.00","100.00","100.00","354.86","10000","49.19","49.19","49.19","174.55","9066","90.66","44.59","44.59","158.25","3359","39.15","37.05","16.52","58.63","1710","19.93","18.86","8.41","29.85","2413","28.12","26.62","11.87","42.12","1098","12.80","12.11","5.40","19.17","4680","51.62","46.80","23.02","81.69","3845","42.41","38.45","18.91","67.11","3920","43.24","39.20","19.28","68.42","1433","36.56","15.81","7.05","25.01","330","8.42","3.64","1.62","5.76","614","15.66","6.77","3.02","10.72","382","7.42","4.21","1.88","6.67","120","2.33","1.32","0.59","2.09","97","1.88","1.07","0.48","1.69","1815","20.02","18.15","8.93","31.68","521","5.75","5.21","2.56","9.09","660","7.28","6.60","3.25","11.52"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D11 Well_035,"21242","100.00","100.00","100.00","380.75","10000","47.08","47.08","47.08","179.24","9010","90.10","42.42","42.42","161.50","3258","37.81","36.16","15.34","58.40","1507","17.49","16.73","7.09","27.01","2788","32.35","30.94","13.12","49.97","1064","12.35","11.81","5.01","19.07","4793","53.20","47.93","22.56","85.91","3771","41.85","37.71","17.75","67.59","4011","44.52","40.11","18.88","71.89","1598","39.84","17.74","7.52","28.64","288","7.18","3.20","1.36","5.16","704","17.55","7.81","3.31","12.62","383","7.66","4.25","1.80","6.87","139","2.78","1.54","0.65","2.49","129","2.58","1.43","0.61","2.31","1981","21.99","19.81","9.33","35.51","491","5.45","4.91","2.31","8.80","756","8.39","7.56","3.56","13.55"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-D12 Well_036,"21051","100.00","100.00","100.00","448.37","10000","47.50","47.50","47.50","212.99","8937","89.37","42.45","42.45","190.35","3210","37.43","35.92","15.25","68.37","1553","18.11","17.38","7.38","33.08","2677","31.21","29.95","12.72","57.02","1137","13.26","12.72","5.40","24.22","4369","48.89","43.69","20.75","93.06","4127","46.18","41.27","19.60","87.90","3387","37.90","33.87","16.09","72.14","1615","47.68","18.07","7.67","34.40","496","14.64","5.55","2.36","10.56","827","24.42","9.25","3.93","17.61","535","9.64","5.99","2.54","11.40","209","3.77","2.34","0.99","4.45","161","2.90","1.80","0.76","3.43","2150","24.06","21.50","10.21","45.79","790","8.84","7.90","3.75","16.83","929","10.39","9.29","4.41","19.79"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-E1 Well_037,"24608","100.00","100.00","100.00","324.47","9689","39.37","39.37","39.37","127.76","8830","91.13","35.88","35.88","116.43","2970","34.67","33.64","12.07","39.16","1715","20.02","19.42","6.97","22.61","2584","30.17","29.26","10.50","34.07","1297","15.14","14.69","5.27","17.10","4355","49.32","44.95","17.70","57.42","4128","46.75","42.61","16.78","54.43","3388","38.37","34.97","13.77","44.67","1263","37.28","14.30","5.13","16.65","233","6.88","2.64","0.95","3.07","463","13.67","5.24","1.88","6.10","490","9.00","5.55","1.99","6.46","164","3.01","1.86","0.67","2.16","117","2.15","1.33","0.48","1.54","1753","19.85","18.09","7.12","23.11","462","5.23","4.77","1.88","6.09","525","5.95","5.42","2.13","6.92"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-E2 Well_038,"17744","100.00","100.00","100.00","232.89","6076","34.24","34.24","34.24","79.75","5471","90.04","30.83","30.83","71.81","1821","34.18","33.28","10.26","23.90","1158","21.73","21.17","6.53","15.20","1524","28.60","27.86","8.59","20.00","825","15.48","15.08","4.65","10.83","2802","51.22","46.12","15.79","36.78","2473","45.20","40.70","13.94","32.46","2757","50.39","45.38","15.54","36.19","977","35.44","17.86","5.51","12.82","191","6.93","3.49","1.08","2.51","373","13.53","6.82","2.10","4.90","226","8.33","4.13","1.27","2.97","56","2.06","1.02","0.32","0.74","70","2.58","1.28","0.39","0.92","1203","21.99","19.80","6.78","15.79","281","5.14","4.62","1.58","3.69","396","7.24","6.52","2.23","5.20"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-E3 Well_039,"17512","100.00","100.00","100.00","231.12","6645","37.95","37.95","37.95","87.70","6145","92.48","35.09","35.09","81.10","1971","33.28","32.07","11.26","26.01","1323","22.34","21.53","7.55","17.46","1641","27.71","26.70","9.37","21.66","988","16.68","16.08","5.64","13.04","3139","51.08","47.24","17.92","41.43","2746","44.69","41.32","15.68","36.24","2725","44.34","41.01","15.56","35.96","1048","38.46","17.05","5.98","13.83","231","8.48","3.76","1.32","3.05","412","15.12","6.70","2.35","5.44","341","9.97","5.55","1.95","4.50","101","2.95","1.64","0.58","1.33","74","2.16","1.20","0.42","0.98","1389","22.60","20.90","7.93","18.33","381","6.20","5.73","2.18","5.03","440","7.16","6.62","2.51","5.81"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-E4 Well_040,"17760","100.00","100.00","100.00","234.52","6642","37.40","37.40","37.40","87.71","6056","91.18","34.10","34.10","79.97","1981","33.83","32.71","11.15","26.16","1327","22.66","21.91","7.47","17.52","1628","27.81","26.88","9.17","21.50","919","15.70","15.18","5.17","12.14","3059","50.51","46.06","17.22","40.39","2757","45.53","41.51","15.52","36.41","2825","46.65","42.53","15.91","37.30","1247","44.14","20.59","7.02","16.47","275","9.73","4.54","1.55","3.63","520","18.41","8.59","2.93","6.87","301","9.32","4.97","1.69","3.97","100","3.10","1.65","0.56","1.32","93","2.88","1.54","0.52","1.23","1548","25.56","23.31","8.72","20.44","412","6.80","6.20","2.32","5.44","571","9.43","8.60","3.22","7.54"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-E5 Well_041,"9232","100.00","100.00","100.00","121.97","2851","30.88","30.88","30.88","37.67","2324","81.52","25.17","25.17","30.70","794","35.41","34.17","8.60","10.49","709","31.62","30.51","7.68","9.37","493","21.99","21.21","5.34","6.51","246","10.97","10.59","2.66","3.25","1319","56.76","46.26","14.29","17.43","901","38.77","31.60","9.76","11.90","29","1.25","1.02","0.31","0.38","15","51.72","0.65","0.16","0.20","6","20.69","0.26","0.06","0.08","9","31.03","0.39","0.10","0.12","35","1.53","1.51","0.38","0.46","14","0.61","0.60","0.15","0.18","46","2.00","1.98","0.50","0.61","50","2.15","1.75","0.54","0.66","33","1.42","1.16","0.36","0.44","55","2.37","1.93","0.60","0.73"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-E6 Well_042,"4976","100.00","100.00","100.00","65.74","24","0.48","0.48","0.48","0.32","14","58.33","0.28","0.28","0.18","4","33.33","28.57","0.08","0.05","6","50.00","42.86","0.12","0.08","2","16.67","14.29","0.04","0.03","0","0.00","0.00","0.00","0.00","3","21.43","12.50","0.06","0.04","6","42.86","25.00","0.12","0.08","6","42.86","25.00","0.12","0.08","3","50.00","21.43","0.06","0.04","3","50.00","21.43","0.06","0.04","2","33.33","14.29","0.04","0.03","1","12.50","7.14","0.02","0.01","1","12.50","7.14","0.02","0.01","1","12.50","7.14","0.02","0.01","4","28.57","16.67","0.08","0.05","4","28.57","16.67","0.08","0.05","3","21.43","12.50","0.06","0.04"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-E7 Well_043,"9248","100.00","100.00","100.00","123.08","2367","25.59","25.59","25.59","31.50","1833","77.44","19.82","19.82","24.39","570","32.39","31.10","6.16","7.59","487","27.67","26.57","5.27","6.48","480","27.27","26.19","5.19","6.39","223","12.67","12.17","2.41","2.97","998","54.45","42.16","10.79","13.28","749","40.86","31.64","8.10","9.97","22","1.20","0.93","0.24","0.29","6","27.27","0.33","0.06","0.08","2","9.09","0.11","0.02","0.03","4","18.18","0.22","0.04","0.05","16","0.88","0.87","0.17","0.21","19","1.05","1.04","0.21","0.25","49","2.71","2.67","0.53","0.65","22","1.20","0.93","0.24","0.29","32","1.75","1.35","0.35","0.43","53","2.89","2.24","0.57","0.71"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-E8 Well_044,"12928","100.00","100.00","100.00","169.77","5782","44.72","44.72","44.72","75.93","3420","59.15","26.45","26.45","44.91","517","18.53","15.12","4.00","6.79","829","29.71","24.24","6.41","10.89","489","17.53","14.30","3.78","6.42","955","34.23","27.92","7.39","12.54","1161","33.95","20.08","8.98","15.25","1615","47.22","27.93","12.49","21.21","39","1.14","0.67","0.30","0.51","36","92.31","1.05","0.28","0.47","19","48.72","0.56","0.15","0.25","25","64.10","0.73","0.19","0.33","3062","90.56","89.53","23.69","40.21","1377","40.73","40.26","10.65","18.08","2433","71.96","71.14","18.82","31.95","3098","90.58","53.58","23.96","40.68","1410","41.23","24.39","10.91","18.52","2458","71.87","42.51","19.01","32.28"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-F1 Well_045,"18800","100.00","100.00","100.00","248.45","6679","35.53","35.53","35.53","88.26","6079","91.02","32.34","32.34","80.34","2078","35.26","34.18","11.05","27.46","1096","18.60","18.03","5.83","14.48","1893","32.12","31.14","10.07","25.02","826","14.02","13.59","4.39","10.92","2890","47.54","43.27","15.37","38.19","2887","47.49","43.23","15.36","38.15","2284","37.57","34.20","12.15","30.18","995","43.56","16.37","5.29","13.15","179","7.84","2.94","0.95","2.37","460","20.14","7.57","2.45","6.08","472","12.44","7.76","2.51","6.24","113","2.98","1.86","0.60","1.49","160","4.22","2.63","0.85","2.11","1467","24.13","21.96","7.80","19.39","378","6.22","5.66","2.01","5.00","562","9.24","8.41","2.99","7.43"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-F2 Well_046,"12440","100.00","100.00","100.00","164.14","3118","25.06","25.06","25.06","41.14","2668","85.57","21.45","21.45","35.20","945","36.66","35.42","7.60","12.47","544","21.10","20.39","4.37","7.18","739","28.67","27.70","5.94","9.75","350","13.58","13.12","2.81","4.62","1316","49.33","42.21","10.58","17.36","1210","45.35","38.81","9.73","15.97","1361","51.01","43.65","10.94","17.96","563","41.37","21.10","4.53","7.43","133","9.77","4.99","1.07","1.75","243","17.85","9.11","1.95","3.21","163","12.47","6.11","1.31","2.15","43","3.29","1.61","0.35","0.57","63","4.82","2.36","0.51","0.83","726","27.21","23.28","5.84","9.58","215","8.06","6.90","1.73","2.84","266","9.97","8.53","2.14","3.51"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-F3 Well_047,"13960","100.00","100.00","100.00","185.34","4003","28.67","28.67","28.67","53.15","3490","87.18","25.00","25.00","46.34","1154","34.22","33.07","8.27","15.32","748","22.18","21.43","5.36","9.93","927","27.49","26.56","6.64","12.31","543","16.10","15.56","3.89","7.21","1720","49.28","42.97","12.32","22.84","1574","45.10","39.32","11.28","20.90","1686","48.31","42.12","12.08","22.38","779","46.20","22.32","5.58","10.34","184","10.91","5.27","1.32","2.44","323","19.16","9.26","2.31","4.29","275","15.24","7.88","1.97","3.65","71","3.94","2.03","0.51","0.94","83","4.60","2.38","0.59","1.10","1054","30.20","26.33","7.55","13.99","311","8.91","7.77","2.23","4.13","361","10.34","9.02","2.59","4.79"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-F4 Well_048,"13296","100.00","100.00","100.00","176.64","4368","32.85","32.85","32.85","58.03","3909","89.49","29.40","29.40","51.93","1360","35.89","34.79","10.23","18.07","893","23.57","22.84","6.72","11.86","977","25.79","24.99","7.35","12.98","559","14.75","14.30","4.20","7.43","1966","50.29","45.01","14.79","26.12","1747","44.69","40.00","13.14","23.21","1930","49.37","44.18","14.52","25.64","951","49.27","24.33","7.15","12.63","251","13.01","6.42","1.89","3.33","457","23.68","11.69","3.44","6.07","209","10.56","5.35","1.57","2.78","48","2.43","1.23","0.36","0.64","91","4.60","2.33","0.68","1.21","1160","29.68","26.56","8.72","15.41","352","9.00","8.06","2.65","4.68","494","12.64","11.31","3.72","6.56"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-F5 Well_049,"8560","100.00","100.00","100.00","113.06","2147","25.08","25.08","25.08","28.36","1651","76.90","19.29","19.29","21.81","562","35.35","34.04","6.57","7.42","492","30.94","29.80","5.75","6.50","369","23.21","22.35","4.31","4.87","167","10.50","10.12","1.95","2.21","904","54.75","42.11","10.56","11.94","665","40.28","30.97","7.77","8.78","13","0.79","0.61","0.15","0.17","4","30.77","0.24","0.05","0.05","2","15.38","0.12","0.02","0.03","4","30.77","0.24","0.05","0.05","55","3.36","3.33","0.64","0.73","23","1.40","1.39","0.27","0.30","56","3.42","3.39","0.65","0.74","59","3.57","2.75","0.69","0.78","40","2.42","1.86","0.47","0.53","60","3.63","2.79","0.70","0.79"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-F6 Well_050,"4584","100.00","100.00","100.00","60.86","14","0.31","0.31","0.31","0.19","7","50.00","0.15","0.15","0.09","2","40.00","28.57","0.04","0.03","2","40.00","28.57","0.04","0.03","1","20.00","14.29","0.02","0.01","0","0.00","0.00","0.00","0.00","4","57.14","28.57","0.09","0.05","1","14.29","7.14","0.02","0.01","2","28.57","14.29","0.04","0.03","1","50.00","14.29","0.02","0.01","0","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","1","20.00","14.29","0.02","0.01","0","0.00","0.00","0.00","0.00","1","20.00","14.29","0.02","0.01","2","28.57","14.29","0.04","0.03","0","0.00","0.00","0.00","0.00","1","14.29","7.14","0.02","0.01"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-F7 Well_051,"11080","100.00","100.00","100.00","147.09","3023","27.28","27.28","27.28","40.13","1998","66.09","18.03","18.03","26.52","681","35.30","34.08","6.15","9.04","584","30.27","29.23","5.27","7.75","426","22.08","21.32","3.84","5.66","238","12.34","11.91","2.15","3.16","1111","55.61","36.75","10.03","14.75","802","40.14","26.53","7.24","10.65","16","0.80","0.53","0.14","0.21","8","50.00","0.40","0.07","0.11","1","6.25","0.05","0.01","0.01","7","43.75","0.35","0.06","0.09","23","1.16","1.15","0.21","0.31","27","1.36","1.35","0.24","0.36","47","2.37","2.35","0.42","0.62","31","1.55","1.03","0.28","0.41","34","1.70","1.12","0.31","0.45","54","2.70","1.79","0.49","0.72"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-F8 Well_052,"10776","100.00","100.00","100.00","142.18","4106","38.10","38.10","38.10","54.18","2042","49.73","18.95","18.95","26.94","421","23.83","20.62","3.91","5.55","495","28.01","24.24","4.59","6.53","335","18.96","16.41","3.11","4.42","516","29.20","25.27","4.79","6.81","800","39.18","19.48","7.42","10.56","947","46.38","23.06","8.79","12.50","27","1.32","0.66","0.25","0.36","22","81.48","1.08","0.20","0.29","9","33.33","0.44","0.08","0.12","19","70.37","0.93","0.18","0.25","1865","92.56","91.33","17.31","24.61","786","39.01","38.49","7.29","10.37","1485","73.70","72.72","13.78","19.59","1887","92.41","45.96","17.51","24.90","811","39.72","19.75","7.53","10.70","1504","73.65","36.63","13.96","19.84"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-G1 Well_053,"23176","100.00","100.00","100.00","305.63","8880","38.32","38.32","38.32","117.10","7874","88.67","33.97","33.97","103.84","2730","35.71","34.67","11.78","36.00","1522","19.91","19.33","6.57","20.07","2396","31.34","30.43","10.34","31.60","997","13.04","12.66","4.30","13.15","3718","47.22","41.87","16.04","49.03","3711","47.13","41.79","16.01","48.94","3085","39.18","34.74","13.31","40.68","1427","46.26","18.12","6.16","18.82","297","9.63","3.77","1.28","3.92","699","22.66","8.88","3.02","9.22","554","11.57","7.04","2.39","7.31","131","2.74","1.66","0.57","1.73","174","3.63","2.21","0.75","2.29","1981","25.16","22.31","8.55","26.12","522","6.63","5.88","2.25","6.88","772","9.80","8.69","3.33","10.18"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-G2 Well_054,"19560","100.00","100.00","100.00","255.99","6367","32.55","32.55","32.55","83.33","5617","88.22","28.72","28.72","73.51","1926","35.33","34.29","9.85","25.21","1150","21.10","20.47","5.88","15.05","1572","28.84","27.99","8.04","20.57","803","14.73","14.30","4.11","10.51","2790","49.67","43.82","14.26","36.51","2521","44.88","39.59","12.89","32.99","2834","50.45","44.51","14.49","37.09","1157","40.83","20.60","5.92","15.14","247","8.72","4.40","1.26","3.23","515","18.17","9.17","2.63","6.74","362","13.01","6.44","1.85","4.74","76","2.73","1.35","0.39","0.99","118","4.24","2.10","0.60","1.54","1519","27.04","23.86","7.77","19.88","392","6.98","6.16","2.00","5.13","556","9.90","8.73","2.84","7.28"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-G3 Well_055,"19424","100.00","100.00","100.00","256.76","6482","33.37","33.37","33.37","85.68","5770","89.02","29.71","29.71","76.27","2009","35.93","34.82","10.34","26.56","1139","20.37","19.74","5.86","15.06","1601","28.64","27.75","8.24","21.16","842","15.06","14.59","4.33","11.13","2804","48.60","43.26","14.44","37.07","2641","45.77","40.74","13.60","34.91","2900","50.26","44.74","14.93","38.33","1355","46.72","23.48","6.98","17.91","367","12.66","6.36","1.89","4.85","671","23.14","11.63","3.45","8.87","439","15.30","7.61","2.26","5.80","116","4.04","2.01","0.60","1.53","119","4.15","2.06","0.61","1.57","1794","31.09","27.68","9.24","23.71","576","9.98","8.89","2.97","7.61","702","12.17","10.83","3.61","9.28"
